2021-12-30/12:28:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-30/12:28:42		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-30/12:28:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-30/12:28:43		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-30/12:28:44		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-30/12:28:45		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-30/12:28:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-30/12:28:47		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-30/12:36:21		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-30/12:36:21		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-30/12:36:22		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-30/12:36:23		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-30/12:36:24		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-30/12:36:24		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-30/12:36:25		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-30/12:36:26		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-30/12:36:27		 wafer_29012020_050617.csv: File Transformed successfully!!
